leaderboard_rank,participant,adjusted_score,final_layer_mse,compute_utilization_fraction,compute_utilization_percent
1,Puffi,3e-09,2.02e-08,0.1478860181,14.78860181
1,suliman_tadros,3e-09,1.97e-08,0.150421517,15.0421517
3,J2W,3.3e-09,2.01e-08,0.1664958591,16.64958591
4,marius_binner,3.4e-09,1.84e-08,0.1871960857,18.71960857
5,oqaris,3.9e-09,2.05e-08,0.1904424338,19.04424338
6,hyojun_kwon,4.3e-09,2.96e-08,0.1461023935,14.61023935
7,mliston,5e-09,2.24e-08,0.2220768611,22.20768611
8,Activation-Regions,5.4e-09,2.8e-08,0.1920069677,19.20069677
8,fklassen,5.4e-09,2.5e-08,0.2177564501,21.775645009999998
10,504aldo,5.7e-09,2.13e-08,0.268685493,26.868549299999998
11,lode_dockx,5.8e-09,4.54e-08,0.1274423363,12.744233629999998
12,a_s6,8e-09,1.5e-08,0.5300548246,53.005482459999996
13,Camaro,8.3e-09,2.73e-08,0.305255026,30.5255026
14,huang_chung_yi,8.7e-09,2.59e-08,0.3350317025,33.50317025
15,neilarmstrong4,9.3e-09,3.32e-08,0.2791193345,27.91193345
16,jamespayor,9.4e-09,1.96e-08,0.4803597811,48.03597811
17,jlacombe,9.6e-09,2.44e-08,0.3917028761,39.170287609999995
18,noa_nabeshima,1e-08,3.57e-08,0.2804660557,28.04660557
19,MeatProxy,1.06e-08,2.6e-08,0.4071974586,40.71974586
19,thegamers,1.06e-08,2.26e-08,0.4674595253,46.745952530000004
21,kaileh57,1.07e-08,2.98e-08,0.3595606668,35.95606668
22,NeuralForge,1.08e-08,3.15e-08,0.3434226807,34.342268069999996
23,AndreasHad04,1.11e-08,9.03e-08,0.1227303893,12.27303893
24,pranav_devarinti,1.13e-08,3.33e-08,0.3406795707,34.06795707
25,bx0,1.24e-08,1.92e-08,0.6473438135,64.73438135
26,utkarsh_agrawal,1.27e-08,4.27e-08,0.298610246,29.861024600000004
27,SaltyTaro,1.38e-08,2.99e-08,0.4609660908,46.09660908
28,rphong,1.45e-08,3.26e-08,0.4431453402,44.31453402
29,bgrubbs1984,1.51e-08,3.49e-08,0.4346003637,43.46003637
30,drmohammad_banisalman,1.61e-08,3.32e-08,0.4847239202,48.47239202
31,shiv_m,1.79e-08,4.78e-08,0.3742410953,37.42410953
32,ArtemVoronov,1.83e-08,2.33e-08,0.7866278468,78.66278468
33,bitter-lesson-pilled,1.84e-08,2.64e-08,0.6975888036,69.75888035999999
34,ai_innovation,1.88e-08,5.34e-08,0.3524159453,35.24159453
35,DLSolutions,2.35e-08,3.48e-08,0.6761925374,67.61925373999999
36,zndrr,2.65e-08,3.56e-08,0.7432003243,74.32003243
37,pricop_tudor,2.75e-08,3.78e-08,0.7283541682,72.83541681999999
38,cwc,2.8e-08,4.09e-08,0.6846580826,68.46580826
39,thibault_gounant,2.85e-08,3.49e-08,0.8180513424,81.80513424
40,subarno_sadat_barno,2.87e-08,3.64e-08,0.7868265013,78.68265013
41,ely2sh,3.25e-08,3.56e-08,0.9108643243,91.08643243
42,neuron,3.47e-08,4.18e-08,0.8291217709,82.91217709
43,konstantin_baltsat,3.72e-08,3.78e-08,0.9836724943,98.36724943
44,trim_qewas,3.74e-08,2.725e-07,0.1374427278,13.74427278
45,al_jannico,3.97e-08,6.18e-08,0.6424551844,64.24551844
46,takuya_hatanaka,4.32e-08,1.153e-07,0.3751455926,37.51455926
47,anay_garodia,4.57e-08,4.63e-08,0.9867140119,98.67140119
48,sophie549,4.61e-08,4.74e-08,0.9729436077,97.29436077
49,latticework_labs,4.97e-08,4.966e-07,0.0868236586,8.68236586
50,LuDoe,6.06e-08,6.057e-07,0.0920966022,9.20966022
